Id,Name,AUTO,ES27,ES64,WEEK_AHEAD,BEST_WIS,MEAN_WIS
24,Minnesota,17.211,16.993,16.973,1,ES64,17.059
24,Minnesota,31.564,31.249,31.014,2,ES64,31.27566667
24,Minnesota,43.064,42.314,41.987,3,ES64,42.455
24,Minnesota,53.274,51.76,51.338,4,ES64,52.124
25,Mississippi,29.048,29.956,30.863,1,AUTO,29.95566667
25,Mississippi,69.624,70.01,70.806,2,AUTO,70.14666667
25,Mississippi,99.754,101.546,101.958,3,AUTO,101.086
25,Mississippi,132.489,131.732,131.444,4,ES64,131.8883333
26,Missouri,23.26,23.441,23.997,1,AUTO,23.566
26,Missouri,39.714,39.251,40.209,2,ES27,39.72466667
26,Missouri,52.22,54.433,54.076,3,AUTO,53.57633333
26,Missouri,65.206,70.442,69.791,4,AUTO,68.47966667
27,Montana,5.198,5.186,5.191,1,ES27,5.191666667
27,Montana,9.138,9.086,9.095,2,ES27,9.106333333
27,Montana,12.192,12.073,12.024,3,ES64,12.09633333
27,Montana,15.117,14.947,14.864,4,ES64,14.976
28,Nebraska,18.459,18.223,18.412,1,ES27,18.36466667
28,Nebraska,30.734,30.696,30.56,2,ES64,30.66333333
28,Nebraska,42.106,41.325,40.964,3,ES64,41.465
28,Nebraska,53.806,51.711,51.423,4,ES64,52.31333333
29,Nevada,15.585,15.736,15.959,1,AUTO,15.76
29,Nevada,27.728,27.537,27.442,2,ES64,27.569
29,Nevada,36.274,35.738,34.826,3,ES64,35.61266667
29,Nevada,44.44,43.61,42.004,4,ES64,43.35133333
30,New Hampshire,3.055,3.03,3.069,1,ES27,3.051333333
30,New Hampshire,5.784,5.735,5.693,2,ES64,5.737333333
30,New Hampshire,8.024,7.969,7.844,3,ES64,7.945666667
30,New Hampshire,9.919,10.18,10.06,4,AUTO,10.053
31,New Jersey,41.09,40.526,40.853,1,ES27,40.823
31,New Jersey,78.049,76.728,77.107,2,ES27,77.29466667
31,New Jersey,121.617,119.554,120.192,3,ES27,120.4543333
31,New Jersey,158.916,156.649,157.859,4,ES27,157.808
32,New Mexico,29.369,28.602,28.8,1,ES27,28.92366667
32,New Mexico,64.073,58.875,59.813,2,ES27,60.92033333
32,New Mexico,98.599,88.208,90.616,3,ES27,92.47433333
32,New Mexico,129.482,113.74,117.481,4,ES27,120.2343333
33,New York,60.185,61.209,61.056,1,AUTO,60.81666667
33,New York,107.567,109.81,109.173,2,AUTO,108.85
33,New York,152.433,158.681,155.672,3,AUTO,155.5953333
33,New York,192.015,204.804,202.054,4,AUTO,199.6243333
34,North Carolina,75.969,77.997,76.001,1,AUTO,76.65566667
34,North Carolina,136.644,140.669,133.469,2,ES64,92.43766667
34,North Carolina,210.182,216.401,202.395,3,ES64,142.1943333
34,North Carolina,279.366,288.77,265.773,4,ES64,189.3786667
35,North Dakota,4.89,4.826,4.846,1,ES27,3.238666667
35,North Dakota,8.675,8.521,8.602,2,ES27,5.732
35,North Dakota,11.122,10.898,10.893,3,ES64,7.34
35,North Dakota,13.365,13.173,13.155,4,ES64,8.846
36,Ohio,21.023,21.537,21.755,1,AUTO,14.18666667
